physics_frame,physics_time_s,physics_dt_s,command_index,nominal_command_time_s,scheduler_phase_error_s,cycle,segment,target_arm_q,left_q,left_qd,right_q,right_qd,left_ee_position_world_m,left_ee_orientation_world_wxyz,contacts
10,0.18333333333333332,0.016666666666666666,8,0.16,0.006666666666666654,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.6126905393321067e-05,-0.9599462151527405,1.1612306833267212,0.0011208009673282504,-0.2956300675868988,-4.789890954270959e-05,2.751426109171007e-06,0.02236826717853546,-0.021123697981238365]","[-0.00010060989734483883,0.06059484928846359,-0.22469843924045563,-0.003636941546574235,-0.0203293114900589,-0.00017499056411907077,8.011965292098466e-06,3.961199126933934e-06,-1.245471025868028e-06]","[3.176882091793232e-05,-0.9598957300186157,1.1624635457992554,0.0020810365676879883,-0.2911399304866791,-0.00013101150398142636,4.166054168308619e-06,0.02185431867837906,-0.020139962434768677]","[-0.00020988096366636455,0.05189090222120285,-0.22797666490077972,-0.0025208352599292994,-0.021435141563415527,-0.00029819010524079204,1.3667113307747059e-05,1.2874486856162548e-05,-9.771576151251793e-05]","[-0.3177154064178467,-0.019020257517695427,0.3144921064376831]","[0.9988874309169622,0.0005197283437463603,-0.04715520276275116,-0.00013073241225607942]",[]
11,0.2,0.016666666666666666,9,0.18,0.003333333333333327,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5985146092134528e-05,-0.9599475264549255,1.1612316370010376,0.001119796303100884,-0.2956330478191376,-4.6987795940367505e-05,2.799853064061608e-06,0.022368060424923897,-0.02112402580678463]","[-0.00010081969958264381,0.06077098101377487,-0.22478190064430237,-0.003635336412116885,-0.02029995433986187,-0.0001751502277329564,8.019869710551575e-06,3.965520136262057e-06,-1.2468143495425466e-06]","[3.2187486795010045e-05,-0.9598959684371948,1.162440538406372,0.002106837695464492,-0.29142865538597107,-0.00013247753668110818,4.2318451960454695e-06,0.02185322903096676,-0.02014271356165409]","[-0.00019477171008475125,0.06577226519584656,-0.2289290726184845,-0.0027536312118172646,-0.018745826557278633,-0.0002759145281743258,1.2631488061742857e-05,1.3105542166158557e-05,-8.885699207894504e-05]","[-0.3177156150341034,-0.01902025006711483,0.31449222564697266]","[0.9988873483193818,0.0005197693030618886,-0.04715695193626435,-0.00013073418284062448]",[]
12,0.21666666666666667,0.016666666666666666,10,0.2,0.0,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.586279358889442e-05,-0.9599459767341614,1.161230444908142,0.0011189378565177321,-0.2956320643424988,-4.6205106627894565e-05,2.8412150641088374e-06,0.022367851808667183,-0.021124353632330894]","[-0.00010097973427036777,0.06066033989191055,-0.2246953845024109,-0.003635548520833254,-0.020310232415795326,-0.0001753234100760892,8.026494469959289e-06,3.971171736338874e-06,-1.2479953284127987e-06]","[3.247401036787778e-05,-0.9598942399024963,1.162450909614563,0.002129565691575408,-0.29132118821144104,-0.00013372383546084166,4.2879914872173686e-06,0.021852342411875725,-0.02014535665512085]","[-0.0001875926391221583,0.05708496645092964,-0.21782849729061127,-0.0028530643321573734,-0.01975790038704872,-0.00025743499281816185,1.179297123599099e-05,1.3310826034285128e-05,-8.926491136662662e-05]","[-0.3177154064178467,-0.01902027428150177,0.3144923150539398]","[0.9988873823032695,0.0005196892532621463,-0.04715623321764633,-0.0001306412071433591]",[]
13,0.23333333333333334,0.016666666666666666,10,0.2,0.016666666666666663,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5758812878630124e-05,-0.9599476456642151,1.1612319946289062,0.0011182025773450732,-0.29563233256340027,-4.55322879133746e-05,2.8765200568159344e-06,0.022367646917700768,-0.02112468145787716]","[-0.00010111222218256444,0.060729969292879105,-0.22471609711647034,-0.0036346465349197388,-0.020305994898080826,-0.00017536718223709613,8.028950105654076e-06,3.97403209717595e-06,-1.248476678483712e-06]","[3.278545045759529e-05,-0.959887683391571,1.1624929904937744,0.0021524494513869286,-0.29119381308555603,-0.00013478771143127233,4.335803623689571e-06,0.021851522848010063,-0.020147960633039474]","[-0.00018785079009830952,0.06520985066890717,-0.22476954758167267,-0.0028164691757410765,-0.02094302698969841,-0.00025648262817412615,1.1754613296943717e-05,1.3314565876498818e-05,-9.029568172991276e-05]","[-0.3177158236503601,-0.01902022399008274,0.31449204683303833]","[0.9988873742909882,0.000519704097084131,-0.04715640310331823,-0.00013052227447246572]",[]
14,0.25,0.016666666666666666,11,0.22,0.013333333333333336,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5669487765990198e-05,-0.9599459767341614,1.1612308025360107,0.0011176004773005843,-0.2956306040287018,-4.495368921197951e-05,2.9066306979075307e-06,0.022367442026734352,-0.021125009283423424]","[-0.00010126126289833337,0.060703739523887634,-0.22475120425224304,-0.0036343096289783716,-0.020321987569332123,-0.00017559663683641702,8.037377483560704e-06,3.980350811616518e-06,-1.2499783679231768e-06]","[3.299206218798645e-05,-0.9598886370658875,1.1624655723571777,0.002173213753849268,-0.29115545749664307,-0.00013569880684372038,4.376687684271019e-06,0.02185068279504776,-0.02015060931444168]","[-0.00018214552255813032,0.05660723149776459,-0.2253274768590927,-0.0030205550137907267,-0.021306943148374557,-0.000247393298195675,1.1306927262921818e-05,1.3421769835986197e-05,-8.864319534040987e-05]","[-0.31771543622016907,-0.019020263105630875,0.3144921660423279]","[0.998887422703698,0.000519653842167357,-0.04715537823570949,-0.0001304902112165027]",[]
15,0.26666666666666666,0.016666666666666666,12,0.24,0.010000000000000009,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5593086573062465e-05,-0.9599474668502808,1.1612316370010376,0.0011170615907758474,-0.29563236236572266,-4.445547892828472e-05,2.9323293802008266e-06,0.022367238998413086,-0.02112533710896969]","[-0.00010129907605005428,0.060674749314785004,-0.2247358113527298,-0.0036350951995700598,-0.02030666172504425,-0.0001754436525516212,8.032449841266498e-06,3.97946450902964e-06,-1.249721435669926e-06]","[3.321273106848821e-05,-0.9598952531814575,1.1624618768692017,0.002188140293583274,-0.2913188338279724,-0.00013647758169099689,4.411600457387976e-06,0.02184990793466568,-0.020153140649199486]","[-0.0001751733070705086,0.06269609928131104,-0.22749163210391998,-0.0031317840330302715,-0.019784094765782356,-0.00024062632292043418,1.098105167329777e-05,1.3485783711075783e-05,-8.243700722232461e-05]","[-0.3177156448364258,-0.01902027800679207,0.3144921660423279]","[0.9988873651590974,0.000519732072210269,-0.04715659630938547,-0.00013049368885790317]",[]
16,0.2833333333333333,0.016666666666666666,13,0.26,0.006666666666666654,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5527997675235383e-05,-0.9599462747573853,1.1612308025360107,0.0011165918549522758,-0.2956322729587555,-4.402637932798825e-05,2.9542268293880625e-06,0.02236703597009182,-0.021125664934515953]","[-0.00010142636892851442,0.060738399624824524,-0.22475160658359528,-0.00363438343629241,-0.020306598395109177,-0.00017566715541761369,8.042615263548214e-06,3.985183411714388e-06,-1.2512996363511775e-06]","[3.336668305564672e-05,-0.9598894715309143,1.162449836730957,0.0022003636695444584,-0.2912991940975189,-0.00013713209773413837,4.441072178451577e-06,0.02184918336570263,-0.020155586302280426]","[-0.00017091135669033974,0.05871318653225899,-0.2221439629793167,-0.0032142172567546368,-0.0199736300855875,-0.0002465846773702651,1.1232359611312859e-05,1.3426542864181101e-05,-7.307020132429898e-05]","[-0.31771546602249146,-0.01902029477059841,0.3144923150539398]","[0.9988873764866484,0.0005196426593923223,-0.047156357360753395,-0.0001304898165813399]",[]
17,0.3,0.016666666666666666,14,0.28,0.0033333333333332993,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5471943697775714e-05,-0.9599472284317017,1.1612316370010376,0.0011161906877532601,-0.29563218355178833,-4.365661880001426e-05,2.9728571462328546e-06,0.022366832941770554,-0.021125992760062218]","[-0.00010147110151592642,0.06066439300775528,-0.224692702293396,-0.0036344502586871386,-0.020307840779423714,-0.00017562543507665396,8.040164175326936e-06,3.986574938608101e-06,-1.251080561814888e-06]","[3.3530377550050616e-05,-0.9598934054374695,1.1624780893325806,0.002211899496614933,-0.2912607192993164,-0.00013768268399871886,4.465838628675556e-06,0.02184850536286831,-0.020157940685749054]","[-0.00017006034613586962,0.06273568421602249,-0.22398623824119568,-0.003188010770827532,-0.02033180184662342,-0.0002489510225132108,1.1342840480210725e-05,1.339599839411676e-05,-7.008371176198125e-05]","[-0.3177156448364258,-0.019020268693566322,0.3144921362400055]","[0.9988873746956146,0.0005196966770307318,-0.047156394697463425,-0.0001304921596718336]",[]
18,0.31666666666666665,0.016666666666666666,15,0.3,0.0,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5424564480781555e-05,-0.9599462747573853,1.1612308025360107,0.0011158636771142483,-0.2956312894821167,-4.33370478276629e-05,2.988691903738072e-06,0.022366629913449287,-0.021126320585608482]","[-0.00010157331416849047,0.06075001880526543,-0.22476749122142792,-0.003633752465248108,-0.02031516656279564,-0.00017577676044311374,8.046658876992296e-06,3.99178679799661e-06,-1.2520629297796404e-06]","[3.364401345606893e-05,-0.9598854184150696,1.1624624729156494,0.0022229731548577547,-0.29119613766670227,-0.00013814907288178802,4.486818397708703e-06,0.02184782363474369,-0.02016027830541134]","[-0.00016744591994211078,0.05906841158866882,-0.2243734449148178,-0.003274917136877775,-0.020937049761414528,-0.0002486895537003875,1.1313213690300472e-05,1.3404089258983731e-05,-6.71496381983161e-05]","[-0.31771549582481384,-0.019020268693566322,0.31449225544929504]","[0.9988874029859012,0.0005196110114901312,-0.04715579639087028,-0.0001304883947798841]",[]
19,0.3333333333333333,0.016666666666666666,15,0.3,0.016666666666666663,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5383395293611102e-05,-0.9599471688270569,1.161231517791748,0.0011155679821968079,-0.2956323027610779,-4.3061019823653623e-05,3.0021606107766274e-06,0.02236642688512802,-0.021126648411154747]","[-0.00010158983786823228,0.06064630672335625,-0.22470015287399292,-0.0036342276725918055,-0.020305778831243515,-0.00017570407362654805,8.043920388445258e-06,3.9918622860568576e-06,-1.2525634929261287e-06]","[3.3759170037228614e-05,-0.959895670413971,1.1624698638916016,0.0022314658854156733,-0.2912738621234894,-0.0001385453506372869,4.504594926402206e-06,0.021847177296876907,-0.020162541419267654]","[-0.00016356981359422207,0.06122594699263573,-0.22590869665145874,-0.003326734760776162,-0.020211994647979736,-0.00024151713296305388,1.098382199415937e-05,1.3475815649144351e-05,-6.546991062350571e-05]","[-0.31771567463874817,-0.01902027614414692,0.31449219584465027]","[0.9988873752173977,0.0005196333160876036,-0.04715638443351792,-0.00013045946828358645]",[]
20,0.35,0.016666666666666666,16,0.32,0.013333333333333308,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5348960005212575e-05,-0.9599461555480957,1.1612306833267212,0.0011153181549161673,-0.29563188552856445,-4.2822157411137596e-05,3.013575451404904e-06,0.022366227582097054,-0.02112697623670101]","[-0.00010166184802073985,0.06076182797551155,-0.22476640343666077,-0.003633770626038313,-0.020309925079345703,-0.00017583055887371302,8.049485586525407e-06,3.996296072728001e-06,-1.253862023986585e-06]","[3.384391311556101e-05,-0.9598869681358337,1.1624537706375122,0.002238253364339471,-0.29127293825149536,-0.00013887624663766474,4.519495632848702e-06,0.02184654399752617,-0.0201647337526083]","[-0.00016077620966825634,0.059875741600990295,-0.22405391931533813,-0.003384174546226859,-0.02022446319460869,-0.00024980964371934533,1.1340967830619775e-05,1.3389711966738105e-05,-5.688139935955405e-05]","[-0.31771546602249146,-0.019020266830921173,0.31449225544929504]","[0.9988873877796766,0.0005196556920867147,-0.04715611841374383,-0.00013034110908391707]",[]
21,0.36666666666666664,0.016666666666666666,17,0.34,0.009999999999999953,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5318770238081925e-05,-0.9599471092224121,1.161231517791748,0.0011150951031595469,-0.29563218355178833,-4.2615258280420676e-05,3.0232395147322677e-06,0.022366028279066086,-0.021127304062247276]","[-0.00010166680294787511,0.06063897907733917,-0.2246808409690857,-0.0036341825034469366,-0.02030630223453045,-0.0001757532882038504,8.046154107432812e-06,3.9969972931430675e-06,-1.2527015087471227e-06]","[3.392756843823008e-05,-0.9598951935768127,1.1624712944030762,0.0022441523615270853,-0.2912745773792267,-0.00013914979354012758,4.531818376563024e-06,0.021845947951078415,-0.020166851580142975]","[-0.00015929520304780453,0.0611969493329525,-0.22395490109920502,-0.0033771779853850603,-0.020209774374961853,-0.000251114834100008,1.140056428994285e-05,1.3372409739531577e-05,-5.353748565539718e-05]","[-0.31771573424339294,-0.019020285457372665,0.3144921362400055]","[0.9988873776741818,0.0005196538039184006,-0.04715633216449946,-0.00013046038473626582]",[]
22,0.38333333333333336,0.016666666666666666,18,0.36,0.006666666666666654,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5293859178200364e-05,-0.9599461555480957,1.1612309217453003,0.0011149179190397263,-0.29563140869140625,-4.243581133778207e-05,3.031401320185978e-06,0.022365828976035118,-0.02112763188779354]","[-0.0001017376416712068,0.06077008694410324,-0.22477443516254425,-0.0036334639880806208,-0.020313169807195663,-0.0001759145234245807,8.052772500377614e-06,4.001704382972093e-06,-1.2541081559902523e-06]","[3.3991909731412306e-05,-0.9598855376243591,1.1624627113342285,0.00224994495511055,-0.291230708360672,-0.00013937790936324745,4.5421134018397424e-06,0.02184535562992096,-0.020168915390968323]","[-0.00015783740673214197,0.060344766825437546,-0.22436290979385376,-0.00340840220451355,-0.020620331168174744,-0.00025386139168404043,1.151786455011461e-05,1.3345154002308846e-05,-5.011376924812794e-05]","[-0.31771546602249146,-0.019020291045308113,0.31449222564697266]","[0.9988874033363804,0.0005196370883450123,-0.0471557889238883,-0.00013040002094143085]",[]
23,0.4,0.016666666666666666,19,0.38,0.003333333333333355,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5271636584657244e-05,-0.9599471092224121,1.161231517791748,0.0011147592449560761,-0.2956318259239197,-4.227934914524667e-05,3.038272780031548e-06,0.02236562967300415,-0.021127959713339806]","[-0.00010171677422476932,0.06062709912657738,-0.22469842433929443,-0.003634439781308174,-0.020309748128056526,-0.0001757641148287803,8.045441973081324e-06,4.001161414635135e-06,-1.2536736448964803e-06]","[3.405017196200788e-05,-0.9598950743675232,1.1624685525894165,0.0022546742111444473,-0.2912570834159851,-0.00013956680777482688,4.550590347207617e-06,0.02184477262198925,-0.02017093263566494]","[-0.0001558850781293586,0.06046593189239502,-0.22491291165351868,-0.003433606354519725,-0.020374398678541183,-0.0002536791143938899,1.150192110799253e-05,1.334458647761494e-05,-4.718586569651961e-05]","[-0.3177156150341034,-0.019020291045308113,0.3144921362400055]","[0.9988873845648041,0.000519637036558466,-0.04715618655575273,-0.00013039997884205568]",[]
24,0.4166666666666667,0.016666666666666666,20,0.4,0.0,0,initial_home_hold,"[0.0,-0.9599999785423279,1.159999966621399,0.0,-0.30000001192092896,0.0]","[1.5253647688950878e-05,-0.9599460959434509,1.161230444908142,0.0011146203614771366,-0.29563194513320923,-4.214323780615814e-05,3.0440530736086657e-06,0.022365430369973183,-0.02112828753888607]","[-0.00010177701187785715,0.060772862285375595,-0.22478258609771729,-0.0036337373312562704,-0.02030828408896923,-0.00017592226504348218,8.052435987337958e-06,4.00525277655106e-06,-1.2547607184387743e-06]","[3.409846613067202e-05,-0.9598869681358337,1.162459373474121,0.0022584206890314817,-0.29126492142677307,-0.00013972315355204046,4.5576575757877436e-06,0.021844202652573586,-0.020172884687781334]","[-0.0001538110664114356,0.06057582423090935,-0.2246401160955429,-0.0034623255487531424,-0.020303944125771523,-0.00025637398357503116,1.1618953976721969e-05,1.3316370313987136e-05,-4.271577927283943e-05]","[-0.3177154064178467,-0.019020268693566322,0.31449243426322937]","[0.9988873810494671,0.0005196333130805879,-0.04715626122604861,-0.000130340083611531]",[]
